,index,Series,Country,Year,Value
55,THA,Population growth (annual %),Thailand,2017,0.411525980201064
56,SYR,Population growth (annual %),Syrian Arab Republic,2017,0.100775748776037
57,BLR,Population growth (annual %),Belarus,2017,-0.109782322950581
58,TUV,Population growth (annual %),Tuvalu,2017,-0.221402304463059
59,LBN,Population growth (annual %),Lebanon,2017,-2.4155210315248
60,HND,Population growth (annual %),Honduras,2017,1.73985038012617
61,YEM,Population growth (annual %),Yemen,2017,2.56432067801961
62,TON,Population growth (annual %),Tonga,2017,-0.276617487700869
63,PRK,Population growth (annual %),Democratic People's Republic of Korea,2017,0.497821203562078
64,NPL,Population growth (annual %),Nepal,2017,1.14995372279388
65,RWA,Population growth (annual %),Rwanda,2017,2.47880785239257
66,COD,Population growth (annual %),Democratic Republic of the Congo,2017,3.44276695760094
67,MOZ,Population growth (annual %),Mozambique,2017,3.1031851393148
68,SLV,Population growth (annual %),El Salvador,2017,0.257949946994399
69,MLI,Population growth (annual %),Mali,2017,3.21640725807966
70,PER,Population growth (annual %),Peru,2017,1.50694618507609
71,GNQ,Population growth (annual %),Equatorial Guinea,2017,3.63365484265393
72,BTN,Population growth (annual %),Bhutan,2017,0.844692720380736
73,LCA,Population growth (annual %),Saint Lucia,2017,0.424237575434501
74,KEN,Population growth (annual %),Kenya,2017,2.17570842690355
75,KGZ,Population growth (annual %),Kyrgyzstan,2017,1.93364715643057
76,NIC,Population growth (annual %),Nicaragua,2017,1.41880628469208
77,FSM,Population growth (annual %),Micronesia,2017,0.45835209921657
78,PNG,Population growth (annual %),Papua New Guinea,2017,2.39411255967524
79,TKM,Population growth (annual %),Turkmenistan,2017,1.68665774624937
80,ERI,Population growth (annual %),Eritrea,2017,0.935971649156141
81,SUR,Population growth (annual %),Suriname,2017,1.04465232671753
82,PAK,Population growth (annual %),Pakistan,2017,1.32813543357738
83,PAN,Population growth (annual %),Panama,2017,1.71694872170027
84,VEN,Population growth (annual %),Venezuela,2017,-0.580806784389088
85,MNE,Population growth (annual %),Montenegro,2017,0.011247907097728
86,MHL,Population growth (annual %),Marshall Islands,2017,-2.39133636341706
87,BWA,Population growth (annual %),Botswana,2017,2.07922251369081
88,PHL,Population growth (annual %),Philippines,2017,1.76102262001195
89,TUN,Population growth (annual %),Tunisia,2017,1.07057592442396
90,SRB,Population growth (annual %),Serbia,2017,-0.532191341024444
91,ECU,Population growth (annual %),Ecuador,2017,1.55335626648726
92,SWZ,Population growth (annual %),Eswatini,2017,0.773005801268303
93,MRT,Population growth (annual %),Mauritania,2017,2.63352411058118
94,NGA,Population growth (annual %),Nigeria,2017,2.52731691971774
95,SLB,Population growth (annual %),Solomon Islands,2017,2.44276679046656
96,GTM,Population growth (annual %),Guatemala,2017,1.62765379973835
97,PLW,Population growth (annual %),Palau,2017,0.117802162109984
98,TUR,Population growth (annual %),Türkiye,2017,1.31255286212126
99,COM,Population growth (annual %),Comoros,2017,2.04689697470843
100,MWI,Population growth (annual %),Malawi,2017,2.69546636843743
101,AZE,Population growth (annual %),Azerbaijan,2017,0.98126180450475
102,COL,Population growth (annual %),Colombia,2017,1.51228960592288
103,ALB,Population growth (annual %),Albania,2017,-0.0919722937442495
104,LBY,Population growth (annual %),Libya,2017,1.5175888785251
105,DOM,Population growth (annual %),Dominican Republic,2017,1.13014592909379
106,GEO,Population growth (annual %),Georgia,2017,0.0133860746662629
107,LBR,Population growth (annual %),Liberia,2017,1.90548944068251
108,LKA,Population growth (annual %),Sri Lanka,2017,1.13022048648777
109,KAZ,Population growth (annual %),Kazakhstan,2017,1.36038126908993
110,KIR,Population growth (annual %),Kiribati,2017,1.54812092405828
111,VUT,Population growth (annual %),Vanuatu,2017,2.44878023745694
112,WSM,Population growth (annual %),Samoa,2017,1.00975265821375
113,CAF,Population growth (annual %),Central African Republic,2017,1.86986089522388
114,PSE,Population growth (annual %),West Bank and Gaza Strip,2017,1.98868634871278
115,UKR,Population growth (annual %),Ukraine,2017,-0.386345310894755
116,TCD,Population growth (annual %),Chad,2017,3.32459491646661
117,IRQ,Population growth (annual %),Iraq,2017,2.35769232939234
118,SEN,Population growth (annual %),Senegal,2017,2.7179778377713
119,ARG,Population growth (annual %),Argentina,2017,1.03713389686514
120,NRU,Population growth (annual %),Nauru,2017,2.11954818190381
121,MDG,Population growth (annual %),Madagascar,2017,2.58416485189804
122,NAM,Population growth (annual %),Namibia,2017,1.75699918544662
123,BRA,Population growth (annual %),Brazil,2017,0.79226340042227
124,MMR,Population growth (annual %),Myanmar,2017,0.760205959612812
125,GNB,Population growth (annual %),Guinea-Bissau,2017,2.43789093573311
126,IDN,Population growth (annual %),Indonesia,2017,1.00643952446092
127,GIN,Population growth (annual %),Guinea,2017,2.56349381271807
128,IRN,Population growth (annual %),Iran,2017,1.42882552688137
129,PRY,Population growth (annual %),Paraguay,2017,1.40691381584073
130,BOL,Population growth (annual %),Bolivia,2017,1.52010888105833
131,FJI,Population growth (annual %),Fiji,2017,0.0705348376627642
132,UZB,Population growth (annual %),Uzbekistan,2017,1.68350632535532
133,CMR,Population growth (annual %),Cameroon,2017,2.83379809494988
134,LSO,Population growth (annual %),Lesotho,2017,1.2397919001165
135,BIH,Population growth (annual %),Bosnia and Herzegovina,2017,-1.18362667966933
136,BEN,Population growth (annual %),Benin,2017,2.94632156118807
139,CHN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),China (People's Republic of),2017,0.7
140,IND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),India,2017,13.4
149,DJI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Djibouti,2017,19.1
153,STP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Sao Tome and Principe,2017,15.6
163,MUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Mauritius,2017,0.1
169,EGY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Egypt,2017,2.5
173,MKD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),North Macedonia,2017,4.5
175,GAB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Gabon,2017,2.5
180,ZWE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Zimbabwe,2017,34.2
181,MDA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Moldova,2017,0.0
183,XKX,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Kosovo,2017,0.4
185,CRI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Costa Rica,2017,1.2
187,ARM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Armenia,2017,0.8
192,THA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Thailand,2017,0.0
194,BLR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Belarus,2017,0.0
197,HND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Honduras,2017,13.9
205,SLV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),El Salvador,2017,2.2
207,PER,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Peru,2017,4.5
209,BTN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Bhutan,2017,0.9
212,KGZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Kyrgyzstan,2017,1.3
220,PAN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Panama,2017,2.1
222,MNE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Montenegro,2017,3.3
227,SRB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Serbia,2017,5.4
228,ECU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Ecuador,2017,3.2
235,TUR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Türkiye,2017,0.1
239,COL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Colombia,2017,4.3
240,ALB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Albania,2017,0.4
242,DOM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Dominican Republic,2017,1.0
243,GEO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Georgia,2017,6.2
246,KAZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Kazakhstan,2017,0.0
252,UKR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Ukraine,2017,0.0
256,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Argentina,2017,0.4
260,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Brazil,2017,5.3
261,MMR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Myanmar,2017,2.0
263,IDN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Indonesia,2017,6.6
265,IRN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Iran,2017,0.6
266,PRY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Paraguay,2017,1.0
267,BOL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Bolivia,2017,4.9
271,LSO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Lesotho,2017,32.4
274,SOM,Net ODA received (% of central government expense),Somalia,2017,16997827.3844317
275,MYS,Net ODA received (% of central government expense),Malaysia,2017,-0.057918373008548
277,IND,Net ODA received (% of central government expense),India,2017,0.772490280761901
279,UGA,Net ODA received (% of central government expense),Uganda,2017,58.1241956880567
282,TZA,Net ODA received (% of central government expense),Tanzania,2017,30.8369267609666
284,BFA,Net ODA received (% of central government expense),Burkina Faso,2017,34.2036585824337
285,ZAF,Net ODA received (% of central government expense),South Africa,2017,0.753951237939307
288,JOR,Net ODA received (% of central government expense),Jordan,2017,28.018416252982
291,JAM,Net ODA received (% of central government expense),Jamaica,2017,1.55889330251736
292,AFG,Net ODA received (% of central government expense),Afghanistan,2017,51.4323644836872
296,AGO,Net ODA received (% of central government expense),Angola,2017,1.94128909752348
297,BGD,Net ODA received (% of central government expense),Bangladesh,2017,16.8509408155631
300,MUS,Net ODA received (% of central government expense),Mauritius,2017,0.480083693354159
301,KHM,Net ODA received (% of central government expense),Cambodia,2017,27.0104299460088
304,BLZ,Net ODA received (% of central government expense),Belize,2017,6.75467368343845
305,MEX,Net ODA received (% of central government expense),Mexico,2017,0.3190000728308
307,CPV,Net ODA received (% of central government expense),Cabo Verde,2017,24.4524010462811
308,MAR,Net ODA received (% of central government expense),Morocco,2017,9.03004734473761
310,MKD,Net ODA received (% of central government expense),North Macedonia,2017,4.73685302877285
311,TGO,Net ODA received (% of central government expense),Togo,2017,46.9109772672546
312,GAB,Net ODA received (% of central government expense),Gabon,2017,4.5466653815515
315,MNG,Net ODA received (% of central government expense),Mongolia,2017,28.1349571554686
316,ZMB,Net ODA received (% of central government expense),Zambia,2017,19.2210120522942
317,ZWE,Net ODA received (% of central government expense),Zimbabwe,2017,14.5269070549313
318,MDA,Net ODA received (% of central government expense),Moldova,2017,9.38388461725212
319,ETH,Net ODA received (% of central government expense),Ethiopia,2017,44.9079119171093
321,GHA,Net ODA received (% of central government expense),Ghana,2017,12.0525513572506
322,CRI,Net ODA received (% of central government expense),Costa Rica,2017,0.645841545996503
323,CIV,Net ODA received (% of central government expense),Côte d'Ivoire,2017,10.5637196618595
324,ARM,Net ODA received (% of central government expense),Armenia,2017,9.87260723477497
326,COG,Net ODA received (% of central government expense),Congo,2017,5.63899895846657
327,VCT,Net ODA received (% of central government expense),Saint Vincent and the Grenadines,2017,5.68158816788709
328,TLS,Net ODA received (% of central government expense),Timor-Leste,2017,25.6514089585597
329,THA,Net ODA received (% of central government expense),Thailand,2017,0.298320212646806
331,BLR,Net ODA received (% of central government expense),Belarus,2017,-1.5590105375053
333,LBN,Net ODA received (% of central government expense),Lebanon,2017,9.45705654580809
338,NPL,Net ODA received (% of central government expense),Nepal,2017,26.0024130606213
339,RWA,Net ODA received (% of central government expense),Rwanda,2017,71.2674649918385
341,MOZ,Net ODA received (% of central government expense),Mozambique,2017,77.2499091504122
342,SLV,Net ODA received (% of central government expense),El Salvador,2017,2.44318741643877
343,MLI,Net ODA received (% of central government expense),Mali,2017,70.7715453917785
344,PER,Net ODA received (% of central government expense),Peru,2017,-0.00298303953935209
345,GNQ,Net ODA received (% of central government expense),Equatorial Guinea,2017,0.573603403637112
346,BTN,Net ODA received (% of central government expense),Bhutan,2017,25.9610943043735
347,LCA,Net ODA received (% of central government expense),Saint Lucia,2017,4.36986996558808
348,KEN,Net ODA received (% of central government expense),Kenya,2017,12.0315077685861
349,KGZ,Net ODA received (% of central government expense),Kyrgyzstan,2017,23.1720694495867
350,NIC,Net ODA received (% of central government expense),Nicaragua,2017,24.6994302629491
351,FSM,Net ODA received (% of central government expense),Micronesia,2017,120.764399839419
352,PNG,Net ODA received (% of central government expense),Papua New Guinea,2017,14.1228507676819
357,PAN,Net ODA received (% of central government expense),Panama,2017,0.465521954535721
360,MHL,Net ODA received (% of central government expense),Marshall Islands,2017,55.8343529291351
361,BWA,Net ODA received (% of central government expense),Botswana,2017,2.25144972770669
362,PHL,Net ODA received (% of central government expense),Philippines,2017,0.358882229496924
364,SRB,Net ODA received (% of central government expense),Serbia,2017,10.1619906728538
369,SLB,Net ODA received (% of central government expense),Solomon Islands,2017,42.0382488687253
370,GTM,Net ODA received (% of central government expense),Guatemala,2017,4.6337507378269
371,PLW,Net ODA received (% of central government expense),Palau,2017,18.3437361796449
372,TUR,Net ODA received (% of central government expense),Türkiye,2017,1.15460565461019
374,MWI,Net ODA received (% of central government expense),Malawi,2017,128.340034471963
375,AZE,Net ODA received (% of central government expense),Azerbaijan,2017,1.08117885860398
376,COL,Net ODA received (% of central government expense),Colombia,2017,0.991297768051258
377,ALB,Net ODA received (% of central government expense),Albania,2017,5.41756153840883
379,DOM,Net ODA received (% of central government expense),Dominican Republic,2017,0.918514253779318
380,GEO,Net ODA received (% of central government expense),Georgia,2017,10.111399450028
382,LKA,Net ODA received (% of central government expense),Sri Lanka,2017,2.18519813794114
383,KAZ,Net ODA received (% of central government expense),Kazakhstan,2017,0.187448583186893
384,KIR,Net ODA received (% of central government expense),Kiribati,2017,53.7404660486545
385,VUT,Net ODA received (% of central government expense),Vanuatu,2017,55.9935968588598
386,WSM,Net ODA received (% of central government expense),Samoa,2017,63.0442150736657
387,CAF,Net ODA received (% of central government expense),Central African Republic,2017,284.728162861111
388,PSE,Net ODA received (% of central government expense),West Bank and Gaza Strip,2017,178.323942275034
389,UKR,Net ODA received (% of central government expense),Ukraine,2017,3.13429687355885
391,IRQ,Net ODA received (% of central government expense),Iraq,2017,5.97887022819298
392,SEN,Net ODA received (% of central government expense),Senegal,2017,21.8586757222473
393,ARG,Net ODA received (% of central government expense),Argentina,2017,-0.000748611505055491
394,NRU,Net ODA received (% of central government expense),Nauru,2017,26.0068634691946
395,MDG,Net ODA received (% of central government expense),Madagascar,2017,55.8349542695358
396,NAM,Net ODA received (% of central government expense),Namibia,2017,4.0318969583859
397,BRA,Net ODA received (% of central government expense),Brazil,2017,0.0366176246501757
398,MMR,Net ODA received (% of central government expense),Myanmar,2017,13.6998176411399
399,GNB,Net ODA received (% of central government expense),Guinea-Bissau,2017,66.4912634179233
400,IDN,Net ODA received (% of central government expense),Indonesia,2017,0.192936936388126
403,PRY,Net ODA received (% of central government expense),Paraguay,2017,2.39862424411475
405,FJI,Net ODA received (% of central government expense),Fiji,2017,10.7970772273315
406,UZB,Net ODA received (% of central government expense),Uzbekistan,2017,7.21350249573054
407,CMR,Net ODA received (% of central government expense),Cameroon,2017,32.0205872827578
408,LSO,Net ODA received (% of central government expense),Lesotho,2017,15.8994833397933
409,BIH,Net ODA received (% of central government expense),Bosnia and Herzegovina,2017,7.09332692266109
411,SOM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Somalia,2017,27.6669998168945
412,MYS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Malaysia,2017,62.5149993896484
413,CHN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",China (People's Republic of),2017,65.2949981689453
414,IND,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",India,2017,44.7830009460449
415,NER,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Niger,2017,73.1370010375977
416,UGA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Uganda,2017,67.693000793457
417,HTI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Haiti,2017,56.8849983215332
419,TZA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Tanzania,2017,82.0780029296875
420,GUY,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Guyana,2017,46.818000793457
421,BFA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Burkina Faso,2017,62.4990005493164
422,ZAF,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",South Africa,2017,44.6790008544922
423,DJI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Djibouti,2017,23.8600006103516
424,SSD,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",South Sudan,2017,62.0340003967285
425,JOR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Jordan,2017,32.939998626709
426,DZA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Algeria,2017,37.4959983825684
427,STP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Sao Tome and Principe,2017,46.7620010375977
428,JAM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Jamaica,2017,61.015998840332
429,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Afghanistan,2017,42.0209999084473
430,MDV,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Maldives,2017,57.0260009765625
431,CUB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Cuba,2017,55.1860008239746
432,VNM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Viet Nam,2017,74.7060012817383
433,AGO,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Angola,2017,69.9059982299805
434,BGD,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Bangladesh,2017,55.7809982299805
435,TJK,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Tajikistan,2017,39.023998260498
436,BDI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Burundi,2017,78.6999969482422
437,MUS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Mauritius,2017,55.1720008850098
438,KHM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Cambodia,2017,73.7409973144531
441,BLZ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Belize,2017,60.2000007629395
442,MEX,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Mexico,2017,58.148998260498
443,EGY,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Egypt,2017,39.6609992980957
444,CPV,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Cabo Verde,2017,51.9360008239746
445,MAR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Morocco,2017,41.3030014038086
446,SLE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Sierra Leone,2017,52.726001739502
447,MKD,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",North Macedonia,2017,42.5550003051758
448,TGO,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Togo,2017,55.8979988098145
449,GAB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Gabon,2017,38.4679985046387
450,GMB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Gambia,2017,57.5270004272461
451,LAO,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Lao People's Democratic Republic,2017,57.8250007629395
452,MNG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Mongolia,2017,55.7719993591309
453,ZMB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Zambia,2017,53.6419982910156
454,ZWE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Zimbabwe,2017,61.7869987487793
455,MDA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Moldova,2017,42.375
456,ETH,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Ethiopia,2017,78.4369964599609
458,GHA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Ghana,2017,66.8219985961914
459,CRI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Costa Rica,2017,55.2239990234375
460,CIV,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Côte d'Ivoire,2017,62.6100006103516
461,ARM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Armenia,2017,53.7330017089844
462,SDN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Sudan,2017,40.0219993591309
463,COG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Congo,2017,53.9560012817383
464,VCT,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Saint Vincent and the Grenadines,2017,52.6829986572266
465,TLS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Timor-Leste,2017,64.1569976806641
466,THA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Thailand,2017,66.9400024414063
467,SYR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Syrian Arab Republic,2017,40.3730010986328
468,BLR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Belarus,2017,60.1699981689453
470,LBN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Lebanon,2017,43.0709991455078
471,HND,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Honduras,2017,60.8009986877441
472,YEM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Yemen,2017,32.6310005187988
473,TON,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Tonga,2017,52.8930015563965
474,PRK,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Democratic People's Republic of Korea,2017,72.4860000610352
475,NPL,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Nepal,2017,35.6650009155273
476,RWA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Rwanda,2017,53.2770004272461
477,COD,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Democratic Republic of the Congo,2017,63.0690002441406
478,MOZ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Mozambique,2017,76.2310028076172
479,SLV,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",El Salvador,2017,56.3460006713867
480,MLI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Mali,2017,68.1259994506836
481,PER,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Peru,2017,74.1589965820313
482,GNQ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Equatorial Guinea,2017,51.1529998779297
483,BTN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Bhutan,2017,61.2799987792969
484,LCA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Saint Lucia,2017,57.0250015258789
485,KEN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Kenya,2017,71.640998840332
486,KGZ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Kyrgyzstan,2017,57.923999786377
487,NIC,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Nicaragua,2017,63.2410011291504
489,PNG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Papua New Guinea,2017,46.2890014648438
490,TKM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Turkmenistan,2017,45.101001739502
491,ERI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Eritrea,2017,73.8580017089844
492,SUR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Suriname,2017,51.6980018615723
493,PAK,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Pakistan,2017,49.3279991149902
494,PAN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Panama,2017,60.1040000915527
495,VEN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Venezuela,2017,57.3460006713867
496,MNE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Montenegro,2017,45.8790016174316
